service,category
boe-eventsrv,other
boe-filesvr,other
boe-pagesvr,other
boe-processsvr,other
boe-resssvr1,other
boe-resssvr2,other
boe-resssvr3,other
boe-resssvr4,other
boe-was,other
boinc,management
boks,other
boks_clntd,other
boks_servc,other
boldsoft-lm,other
bolt,database
bones,other
boomerang,other
boosterware,other
bootclient,other
bootserver,other
borland-dsj,development
boscap,other
bosswave,industrial
bounzza,chat
boxbackupstore,storage
boxp,other
bpcd,storage
bpcp-poll,other
bpcp-trap,other
bpdbm,storage
bpjava-msvc,storage
bpmd,development
bprd,storage
br-channel,remote
brain,other
brcd,other
brcd-vr-req,network
brcm-comm-port,other
brdptc,network
bre,network
brf-gw,other
bridgecontrol,management
brightcore,other
brlp-0,other
brlp-1,other
brlp-2,other
brlp-3,other
broker_service,other
brp,network
bruce,other
brutus,other
brvread,other
bsfserver-zn,other
bsfsvr-zn-ssl,other
bspne-pcc,other
bsquare-voip,media
btpp2audctr1,other
btpp2sectrans,other
btprjctrl,other
btrieve,database
bts-appserver,other
bts-x73,other
btx,media
buddy-draw,other
bues_service,other
bullant-rap,other
bullant-srap,other
burp,storage
busboy,other
buschtrommel,files
business,other
busycal,other
bv-agent,other
bv-ds,other
bv-is,other
bv-queryengine,other
bv-smcsrv,other
bvcdaemon-port,other
bvcontrol,other
bveapi,web
bvtsonar,other
bwnfs,identity
bxp,other
bytex,other
bzflag,gaming
bzr,development
c-h-it-port,other
c1222-acse,industrial
c3,other
ca-1,other
ca-2,other
ca-audit-da,management
ca-audit-ds,management
ca-idms,database
ca-web-update,security
caaclang2,other
caacws,security
cab-protocol,industrial
cableport-ax,other
cabsm-comm,other
caci-lm,licensing
cacp,other
cacsambroker,middleware
cadabra-lm,licensing
cadencecontrol,other
cadis-1,licensing
cadis-2,licensing
cadkey-licman,licensing
cadkey-tablet,other
cadlock,other
cadsi-lm,management
cadsisvr,security
cadview-3d,media
caerpc,middleware
caevms,security
caicci,other
caiccipc,other
caids-sensor,security
caistoragemgr,management
cajo-discovery,discovery
cal,other
caldsoft-backup,storage
call-logging,management
call-sig-trans,media
caller9,other
calltrax,media
callwaveiam,other
camac,industrial
cambertx-lm,licensing
camp,middleware
can-dch,identity
can-ferret,identity
can-ferret-ssl,identity
can-nds,identity
can-nds-ssl,identity
canditv,other
candp,discovery
candrp,discovery
canex-watch,other
canit_store,other
canna,other
canocentral0,other
canocentral1,other
canon-bjnp1,printing
canon-bjnp2,printing
canon-bjnp3,printing
canon-bjnp4,printing
canon-capt,printing
canon-cpp-disc,discovery
canon-mfnp,printing
canto-roboflow,other
capfast-lmd,other
capioverlan,media
capmux,middleware
caps-lm,management
capwap-control,network
capwap-data,network
carb-repl-ctrl,storage
cardax,other
cardbox,other
cardbox-http,web
cardifftec-back,storage
carracho,files
carrius-rshell,remote
cart-o-rama,other
cas,other
cas-mapi,other
casanswmgmt,management
casp,other
caspssl,other
casrmagent,other
castorproxy,other
catalyst,other
catchpole,other
caupc-remote,remote
cautcpd,other
cawas,other
cba8,management
cbos-ip-port,network
cbp,other
cbserver,other
cbt,network
cc-tracking,other
ccag-pib,middleware
cce3x,other
cce4x,other
ccm-port,other
ccmad,discovery
ccmail,email
ccmcomm,other
ccmrmi,middleware
ccnx,network
ccowcmr,other
ccp,industrial
ccproxy-ftp,vpn
ccproxy-http,vpn
ccs-software,other
ccss-qmm,management
ccss-qsm,management
cctv-port,media
ccu-comm-1,media
ccu-comm-2,media
ccu-comm-3,media
cd3o-protocol,media
cdbroker,other
cdc,identity
cddbp-alt,media
cdfunc,other
cdid,other
cdl-server,other
cdn,other
cds,other
cecsvc,other
cedros_fds,other
cefd-vmp,management
celatalk,other
centerline,other
centra,other
ceph,management
cequint-cityid,other
cera-bcm,other
cernsysmgmtagt,management
cert-initiator,other
cert-responder,other
cesdcdman,management
cesdcdtrn,other
cesdinv,other
cfdptkt,files
cfengine,management
cfg-cloud,management
cfs,other
cft-0,other
cft-1,other
cft-2,other
cft-3,other
cft-4,other
cft-5,other
cft-6,other
cft-7,other
cfw,other
cgi-starapi,other
cgms,other
cgn-config,management
cgn-stat,management
chargen,management
charsetmgr,other
checkmk-agent,management
checkoutdb,database
checkpoint-rtm,security
checksum,licensing
chevinservices,other
childkey-ctrl,other
childkey-notif,other
chimera-hwm,other
chip-lm,licensing
chipper,other
chlenix,other
chmd,other
choiceview-agt,media
choiceview-clt,media
chromagrafx,other
chshell,other
ci3-software-1,other
ci3-software-2,other
cichild-lm,other
cichlid,licensing
cifs,files
cim-rs,other
cimple,other
cimplex,other
cimtrak,security
cindycollab,other
cinegrfx-elmd,licensing
cinegrfx-lm,licensing
ciphire-data,other
ciphire-serv,other
circle-x,other
cirrossp,other
cis,vpn
cis-secure,vpn
cisco-aqos,network
cisco-avp,network
cisco-cloudsec,network
cisco-fna,network
cisco-ipsla,management
cisco-net-mgmt,management
cisco-redu,network
cisco-sccp,media
cisco-snat,network
cisco-sys,management
cisco-tdp,network
cisco-tna,network
cisco-vpath-tun,network
cisco-wafs,files
ciscocsdb,management
ciscopop,security
citadel,other
citrix-ica,remote
citrix-rtmp,remote
citrixadmin,management
citrixima,remote
citriximaclient,remote
citrixupp,printing
citrixuppg,remote
citynl,licensing
citysearch,other
cl-1,other
cl-db-attach,database
cl-db-remote,database
cl-db-request,database
clariion-evr01,other
classic,other
cleanerliverc,other
clearcase,development
clearvisn,other
clever-ctrace,other
clever-tcpip,other
cleverdetect,other
client-ctrl,management
client-wakeup,management
cloanto-lm,licensing
cloanto-net-1,other
close-combat,gaming
cloudcheck,management
cloudsignaling,other
clp,network
cluster-disc,other
clusterxl,network
clutild,other
clvm-cfg,other
cm,other
cma,management
cmadmin,other
cmc-port,other
cmip-agent,management
cmip-man,management
cmmdriver,other
cmtp-mgt,management
cnap,other
cnckadserver,other
cncp,network
cnhrp,network
cnrp,other
cnrprotocol,discovery
cns-srv-port,other
coap,web
coaps,web
coauthor,database
cockroach,database
codaauth2,identity
codasrv,files
codasrv-se,files
codemeter-cmwan,licensing
codima-rtp,middleware
cogitate,other
cognex-dataman,management
cognex-insight,other
cognima,other
cogsys-lm,licensing
coherence,database
cohesity-agent,storage
coldfusion-auth,identity
collaber,other
collaborator,other
colubris,management
com-bardac-dw,other
combox-web-acc,other
comcam-io,media
commandport,other
commerce,other
commlinx-avl,other
commonspace,other
commplex-link,other
commtact-http,web
commtact-https,web
community,other
comotionback,storage
comotionmaster,other
compaq-evm,other
compaq-https,management
compaq-scp,other
compaq-wcp,other
compaqdiag,management
composit-server,other
compressnet,management
compx-lockview,other
comscm,other
con,other
concert,other
conclave-cpp,other
concomp1,other
concurrent-lm,other
condor,other
conductor,other
conf,other
conference,chat
conferencetalk,media
config-port,management
confluent,licensing
connect,other
connect-client,other
connect-proxy,vpn
connect-server,other
connected,other
connection,other
connendp,storage
connlcli,other
conspiracy,middleware
consul-insight,security
contamac_icm,other
contclientms,middleware
contentserver,web
continuus,development
controlit,remote
controlone-con,other
converge,middleware
coord-svr,middleware
cops,network
cops-tls,network
copy,files
copycat,database
cora,other
corba-iiop,middleware
corba-iiop-ssl,middleware
corbaloc,middleware
core-of-source,gaming
corel_vncadmin,management
corelccam,other
corelvideo,media
corerjd,other
cosir,management
cosmocall,media
couchdb,database
courier,middleware
covia,other
cp-cluster,security
cp-spxdpy,other
cp-spxrpts,other
cp-spxsvr,other
cpdi-pidas-cm,other
cpdlc,other
cplscrambler-al,management
cplscrambler-in,other
cplscrambler-lg,management
cppdp,other
cpq-tasksmart,other
cpq-wbem,management
cpqrpm-agent,other
cpqrpm-server,other
cps,other
cpscomm,management
cpsp,network
cpudpencap,other
cqg-netlan,other
cqg-netlan-1,other
cr-websystems,other
creativepartnr,other
creativeserver,other
cresco-control,other
crestron-cip,industrial
crestron-cips,industrial
crestron-ctp,industrial
crestron-ctps,industrial
crinis-hb,other
crip,other
crmsbits,other
cronus,other
crs,other
crtech-nlm,other
cruise-config,management
cruise-diags,management
cruise-enum,other
cruise-swroute,other
cruise-update,other
crusecontrol,printing
cryptoadmin,identity
crystalenterprise,other
crystalreports,other
cs-auth-svr,identity
cs-live,other
cs-remote-db,database
cs-services,web
csbphone,media
csc_proxy,other
csccfirewall,security
csccredir,other
cscp,other
csd-mgmt-port,management
csd-monitor,management
csdm,other
csdmbase,other
csi-lfap,other
csi-sgwp,management
cslg,storage
cslistener,other
csms,other
csms2,other
csnet-ns,identity
csnotify,other
csoauth,licensing
csoft-plusclnt,other
csoft-prev,other
csoft1,other
csoftragent,other
cspclmulti,other
cspmlockmgr,other
cspmulti,other
cspuni,other
csregagent,other
csrpc,middleware
cssc,other
cssp,security
cst-port,management
csvr,other
csvr-proxy,other
csvr-sslproxy,vpn
ct2nmcs,other
ctcd,other
ctdb,other
ctdhercules,other
ctdp,discovery
ctechlicensing,licensing
ctf,management
cti-redwood,other
ctiprogramload,other
ctisystemmsg,other
ctlptc,other
ctp,vpn
ctp-state,network
ctsd,other
ctt-broker,other
ctx-bridge,other
ctxlic,licensing
ctxs-vpp,other
cucme-1,media
cucme-2,media
cucme-3,media
cucme-4,media
cuelink,middleware
cuelink-disc,discovery
cuillamartin,other
cumulus,other
cumulus-admin,management
curiosity,other
cuseeme,media
custix,other
cvc,other
cvc_hostd,other
cvd,other
cvmmon,other
cvmon,other
cvspserver,development
cvsup,development
cwmp,management
cxws,other
cyaserv,other
cybercash,other
cyborg-systems,other
cybro-a-bus,other
cyc,other
cycleserv,other
cycleserv2,other
cylink-c,other
cymtec-port,management
cypress,other
cypress-stat,other
cytel-lm,licensing
d-cinema-csp,media
d-cinema-rrp,media
d-data,management
d-data-control,management
d-fence,other
d-s-n,discovery
d-star,media
d2000kernel,other
d2000webserver,web
d2dconfig,management
d2ddatatrans,other
d2k-datamover1,other
d2k-datamover2,other
d2k-tapestry1,other
d2k-tapestry2,other
d3winosfi,other
daap,media
dab-sti-c,media
dai-shell,other
daishi,other
dali,industrial
dali-port,industrial
damewaremobgtwy,remote
dandv-tester,other
danf-ak2,other
daqstream,other
darcorp-lm,other
dashpas-port,other
dasp,middleware
data-insurance,other
data-port,other
datacaptor,other
datalens,other
datascaler-ctl,other
datascaler-db,database
datasurfsrv,other
datasurfsrvsec,other
datex-asn,other
datusorb,other
davsrc,files
davsrcs,files
dawn,other
dayliteserver,other
daylitetouch,other
dayna,other
daytime,network
db-lsp,files
db-lsp-disc,discovery
db2c-tls,database
dbabble,chat
dbase,database
dbbrowse,other
dbcontrol-oms,management
dbcontrol_agent,management
dbdb,other
dberegister,other
dbisamserver1,database
dbisamserver2,management
dbm,other
dbref,other
dbreporter,other
dbsa-lm,licensing
dbstar,other
dbsyncarbiter,other
dc,other
dca,other
dcap,storage
dccm,management
dccp-udp,network
dcp,management
dcs,other
dcs-config,management
dcsl-backup,storage
dcsoftware,storage
dctp,other
dcutility,other
dddp,discovery
ddgn,remote
ddi-tcp-2,other
ddi-tcp-3,other
ddi-tcp-4,other
ddi-tcp-6,other
ddi-tcp-7,other
ddi-udp-1,other
ddi-udp-2,other
ddi-udp-3,other
ddi-udp-4,other
ddi-udp-5,other
ddi-udp-6,other
ddi-udp-7,other
ddm-dfm,files
ddm-rdb,database
ddm-ssl,database
ddns-v3,discovery
ddrepl,storage
ddt,discovery
de-cache-query,other
de-noc,other
de-server,other
de-spot,other
dec-mbadmin,management
dec-mbadmin-h,management
dec-notes,other
dec_dlm,other
decap,other
decauth,identity
decbsrv,other
decladebug,development
dectalk,other
decvms-sysmgt,management
dei-icda,other
delibo,other
dell-eql-asm,management
dell-rm-port,management
dellpwrappks,other
dellwebadmin-1,management
dellwebadmin-2,management
delos-dms,middleware
delta-mcp,other
denali-server,other
deos,other
deploymentmap,management
derby-repli,database
descent3,gaming
deskshare,other
desktop-dna,other
deskview,other
deslogin,remote
deslogind,other
devbasic,other
device,other
device2,other
deviceshare,other
dey-keyneg,storage
dey-sapi,management
dfn,other
dfoxserver,other
dfserver,files
dgi-serv,other
dgpf-exchg,other
dhanalakshmi,other
dhcp-failover,network
dhcp-failover2,network
dhcpc,network
dhcps,network
dhcpv6-client,network
dhcpv6-server,network
dhct-alerts,other
dhct-status,management
dhe,other
di-ase,other
di-drm,other
di-msg,middleware
di-traceware,other
diagd,other
diagmond,other
diagnose-proc,management
dialog-port,other
dialogic-elmd,other
dialpad-voice1,media
dialpad-voice2,media
diameter,identity
diameters,identity
diamondport,other
dic-aida,other
dicom,other
dicom-iscl,other
dicom-tls,other
dict,other
dict-lookup,other
dif-port,middleware
digilent-adept,other
digiman,other
digital-notary,identity
digital-vrc,other
digivote,other
direcpc-dll,other
direcpc-si,other
direcpc-video,media
direct,other
directnet,chat
directplay,gaming
directplay8,gaming
directplaysrvr,gaming
directv-catlg,media
directv-soft,media
directv-tick,media
directv-web,media
directvdata,media
dirgis,other
dis,other
discard,management
disclose,other
discovery-port,discovery
discp-client,other
discp-server,other
display,media
dist-upgrade,management
distcc,development
distccd,development
distinct,other
distinct32,other
dixie,identity
dj-ice,other
dj-ilm,other
dka,other
dkmessenger,chat
dl_agent,other
dlep,network
dlip,other
dlms-cosem,industrial
dlpx-sp,other
dls,other
dls-mon,management
dls-monitor,other
dlsrap,network
dlsrpn,network
dlswpn,network
dmaf-caster,other
dmaf-server,other
dmdocbroker,other
dmidi,other
dmod-workspace,other
dmp,chat
dmt,other
dn6-nlm-aud,management
dn6-smm-red,management
dna,other
dna-cml,other
dnap,other
dnc-port,discovery
dnet-keyproxy,other
dnet-tstproxy,other
dnox,other
dnp,industrial
dnp-sec,industrial
dns-llq,discovery
dns2go,other
dnsix,identity
dnx,other
doc-server,other
doc1lm,licensing
docent,other
doceri-ctl,other
docker,management
docstor,other
documentum,other
documentum_s,other
doglms,licensing
doip-data,management
domain,discovery
domain-s,discovery
domaintime,network
domiq,industrial
donnyworld,other
doom,gaming
dossier,other
dots-signal,security
down,other
downtools,other
downtools-disc,discovery
dpap,files
dpcp,other
dpi-proxy,other
dpkeyserv,other
dpm,other
dpm-acm,management
dpm-agent,other
dpp,management
dproxy,other
dpserve,other
dpserveadmin,management
dpsi,other
dragonfly,other
drip,network
driveappserver,other
drizzle,database
drm-production,other
drmsfsd,other
drmsmc,other
drp,other
drwcs,security
ds-admin,management
ds-clnt,storage
ds-mail,storage
ds-slp,storage
ds-srv,storage
ds-srvr,storage
ds-user,management
dsETOS,other
dsatp,other
dsc,middleware
dsd,other
dsdn,other
dserver,discovery
dsf,other
dsfgw,other
dslremote-mgmt,management
dsm-scm-target,other
dsmcc-ccp,media
dsmcc-config,media
dsmcc-download,media
dsmcc-passthru,media
dsmcc-session,media
dsmeter_iatc,other
dsmipv6,network
dsom-server,middleware
dsp,other
dsp3270,remote
dssiapi,other
dsx-agent,other
dsx_monitor,management
dt-mgmtsvc,management
dt-vra,storage
dta-systems,other
dtag-ste-sb,other
dtk,security
dtn-bundle-tcp,network
dtn-bundle-udp,network
dtn1,other
dtp,vpn
dtp-dia,other
dtp-net,other
dtpt,other
dts,database
dtserver-port,other
dtspc,remote
dtspcd,remote
dtv-chan-req,media
dvapps,other
dvbservdsc,discovery
dvcprov-port,management
dvl-activemail,email
dvr-esm,media
dvs,other
dvt-data,other
dvt-system,other
dwf,other
dwmsgserver,other
dwnmshttp,management
dwr,network
dx-instrument,other
dxadmind,management
dxmessagebase1,other
